FMID,street,city,County,State,zip,x,y
1000001,City Hall park,Shelby,Toole,Montana,59474,-111.856,48.5041
1000003,Corner of Lewis Street and Pine Street,Edmore,Montcalm,Michigan,48829,-85.037581,43.4060489
1000007,110 South Hope Avenue,Santa Barbara,Santa Barbara,California,93101,-119.747,34.4378
1000008, Main St. and Uncompahgre Ave.,Montrose,Montrose,Colorado,81401,-107.8756668,38.4802387
1000009,2900 South Shore Drive,Bay View,Milwaukee,Wisconsin,53207,-87.882514,42.994023
1000010,0,Pawleys Island,Georgetown,South Carolina,29585,-79.12257,33.452713
1000011,310 Greenwich Drive,Georgetown,Georgetown,South Carolina,29440,-79.276485,33.359961
1000013, State & Gayley Streets,Media,Delaware,Pennsylvania,19063,-75.3867127,39.9175314
1000014,"Tubac Plaza, Exit 34 - I-19",Tubac,Pima,Arizona,85646,-111.055,31.6228
1000015,101 S. Union Ave,Pueblo,Pueblo,Colorado,81003,-104.613,38.2651
1000016,305 Texas Boulevard,Texarkana,Bowie,Texas,75501,-94.045817,33.421527
1000021,700 North Lamar Blvd.,Oxford,Lafayette,Mississippi,38655,-89.516816,34.373647
1000022,1521 Elizabeth Ave,Charlotte,Mecklenburg,North Carolina,28204,-80.8269849,35.214409
1000023,15915 Davidson Concord Rd,Huntersville,Mecklenburg,North Carolina,28078,-80.7855537,35.423328
1000024,Grand & Eucalyptus,Los Angeles,Los Angeles,California,90045,-118.405,33.9208
1000026,158 Avocado Street,Springfield,Hampden,Massachusetts,1101,-72.606701,42.107564
1000029,US Highway 2 and Getchell Avenue,Bagley,Clearwater,Minnesota,56621,-95.397,47.5218
1000030,413 N Milwaukee Ave,Libertyville,Lake,Illinois,60048,-87.954917,42.287215
1000031,"Oklahoma Ave. and Benning Rd., NE",Washington,District of Columbia,District of Columbia,20020,-76.9695,38.8977
1000032,Stanton and Alabama Avenue SE,Washington,District of Columbia,District of Columbia,20020,-76.9752,38.8507
1000036,Lake Carolina Town Center,Columbia,Richland,South Carolina,29229,-80.8965,34.1774
1000037, 1415West Main St.,Whitewater,Walworth,Wisconsin,53190,-88.759686,42.834469
1000038,1050 Camino Del Mar,Del Mar,Tulare,California,92014,-117.264,32.9548
1000039,South Lawn of the Main Library,Tucson,Pima,Arizona,85719,-110.972,32.2235
1000041,Corner of Frederick St. and Granard St.,Gaffney,Cherokee,South Carolina,29342,-81.648,35.0763
1000042,Veterans Memorial Community Center parking lot,Inver Grove Heights,Dakota,Minnesota,55077,-93.064,44.8322
1000043,COLDWELL &BANKERS PARKING LOT ,NISKAYUNA,Schenectady,New York,12309,-73.8771901,42.8056144
1000044,15684 Body Rd.,Danville,Knox,Ohio,43014,-82.2445,40.4553
1000048,227 East Pine Street,Fitzgerald,Ben Hill,Georgia,31750,-83.2518458,31.7136472
1000050,500 Mulberry St,Macon,Bibb,Georgia,31201,-83.628616,32.838311
1000051,Corner of Bancroft Street and Magnolia Avenue,Fairhope,Baldwin,Alabama,36532,-87.9019749,30.5244349
1000052,1500 Ivar Ave. & Selma Ave,Los Angeles,Los Angeles,California,90028,-118.3283,34.09986
1000055,"Old Center School parking lot, Maple Street",New Canaan,Fairfield,Connecticut,6840,-73.492033,41.144455
1000057,3rd Ave & 95 St.,New York,Kings,New York,11209,-74.032102,40.61695
1000058,Washington Pk & Dekalb,New York,Kings,New York,11205,-73.9746,40.6921
1000060,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.985839,40.768159
1000061,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.7818
1000062,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.95009,40.773749
1000063,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.946421,40.780931
1000064,W 97 St. & Columbus,New York,New York,New York,10025,-73.967012,40.79356
1000065,W12 St. & 8th Ave,New York,New York,New York,10014,-74.00528,40.737177
1000066,Broadway & Battery Place,New York,New York,New York,10004,-74.014313,40.704587
1000067,Broadway & Chambers,New York,New York,New York,10007,-74.00631,40.713858
1000068,Broadway - W114 & 115 Sts.,New York,New York,New York,10027,-73.96436,40.807345
1000069,E 47 St & 2 Ave,New York,New York,New York,10017,-73.9698797,40.7529921
1000070,W Broadway - Barclay St & Park Pl,New York,New York,New York,10271,-74.0081736,40.7119522
1000071,168th St. & Ft. Washington,New York,New York,New York,10032,-73.9422685,40.8421727
1000072,Isham St - Seaman & Cooper,New York,New York,New York,10034,-73.919942,40.868272
1000073,E99 St. - Madison & Park Aves,New York,New York,New York,10029,-73.952043,40.788941
1000075,Rockefeller Plaza - 50 St.,New York,New York,New York,10185,-73.98056,40.759513
1000076,E 10 St. & 2 Av,New York,New York,New York,10003,-73.9868166,40.7297528
1000077,14th St loop & Ave A (in the Oval),New York,New York,New York,10009,-73.977814,40.731763
1000078,E 7 St. & Ave A,New York,New York,New York,10009,-73.983535,40.726056
1000079,Greenwich & Chambers,New York,New York,New York,10007,-74.010994,40.7163009
1000080,W 66 St. & Columbus,New York,New York,New York,10023,-73.981573,40.773602
1000081,E 17 St. & Broadway,New York,New York,New York,10003,-73.990409,40.737096
1000082,4 South Street (inside terminal),New York,New York,New York,10004,-74.013648,40.701952
1000083,Kazimiroff Blvd-Bedford Pk & Mosholu Blvd inside NYBG Mosholu Gate,Bronx,Bronx,New York,10458,-73.880696,40.86686
1000084,Havemeyer & Broadway,Brooklyn,Kings,New York,11211,-73.959382,40.70867
1000085,34 Ave - 77 & 78 Sts,Queens,Queens,New York,11372,-73.889215,40.753353
1000086,14 St - 31 Ave & 31 Rd,Queens,Queens,New York,11106,-73.932452,40.767672
1000087,Skillman - 42 & 43 Sts,Queens,Queens,New York,11104,-73.92123,40.746899
1000088,Roosevelt Ave & 103rd St,Queens,Queens,New York,11368,-73.8626778,40.7499046
1000089,41st Ave - 80 & 81 Sts,Queens,Queens,New York,11373,-73.8845641,40.745901
1000090,Vernon Blvd & Broadway,Queens,Queens,New York,11106,-73.9359467,40.7675924
1000093,St Marks & Hyatt St,Staten Island,Richmond,New York,10301,-74.0779055,40.6415918
1000094,Richmond Ave Entrance (Parking Lot),Staten Island,Richmond,New York,10314,-74.162908,40.603429
1000095,Grand Concourse & 161 St,Bronx,Bronx,New York,10452,-73.922603,40.826979
1000096,149 St & Morris,Bronx,Bronx,New York,10451,-73.9227384,40.817388
1000097,Westchester Ave & White Plains Rd,Bronx,Bronx,New York,10472,-73.8626362,40.8330521
1000098,Grand Concourse & 192 St,Bronx,Bronx,New York,10468,-73.8958435,40.86426
1000099,Union - Driggs N12th St,Brooklyn,Kings,New York,11222,-73.952708,40.720494
1000100,Court & Montague,Brooklyn,Kings,New York,11201,-73.9903552,40.6937227
1000101,14th Ave - 49 & 50 Sts,Brooklyn,Kings,New York,11219,-73.990497,40.633137
1000103,Cortelyou & Rugby Rds,Brooklyn,Kings,New York,11226,-73.9652999,40.6408302
1000104,Flatbush & Propsect Park W,Brooklyn,Kings,New York,11217,-73.970368,40.672631
1000105,4th Ave - 59 & 60 Sts,Brooklyn,Kings,New York,11220,-74.0183554,40.6408131
1000107,1570 Rowley St.,Ely,Linn,Iowa,52227,-91.58502,41.87162
1000108,1595 Dows St.,Ely,Iowa,Iowa,52227,-91.5858693,41.8733833
1000110,0,Ferryville,Crawford,Wisconsin,54628,-91.097,43.363
1000111,1445 Main Street,Lander,Fremont,Wyoming,82520,-108.745862,42.841176
1000112, 685 Main Street,Lander,Fremont,Wyoming,82520,-108.7392146,42.8344887
1000113,4150 5th Street,Northport,Tuscaloosa,Alabama,35476,-87.591044,33.219446
1000114,910 Market Street,Meadville,Crawford,Pennsylvania,16335,-80.1534,41.6387
1000115,South of Courthouse on 4th Street,Tipton,Cedar,Iowa,52772,-91.1361,41.7647
1000116,Loacated at Earhman's General Store,Whites Creek,Davidson,Tennessee,37189,-86.7169,36.3367
1000117,118 Williams Street,Ennis,Madison,Montana,59729,-111.731129,45.34925
1000120,Corner of Hampton Street & Main Street,Columbia,Richland,South Carolina,29201,-81.0357,34.0054
1000121,350 Van White Memorial Blvd,Minneapolis,Hennepin,Minnesota,55405,-93.293452,44.981329
1000122,4400 Osseo Rd,Minneapolis,Hennepin,Minnesota,55412,-93.309374,45.035867
1000123,2901 Emerson Ave S,Minneapolis,Hennepin,Minnesota,55411,-93.294718,44.950616
1000125,76 Albany Street,Cazenovia,Madison,New York,13035,-75.8532,42.9296
1000127,14820 Mack Avenue,Detroit,Wayne,Michigan,48215,-82.9481112,42.387217
1000130,2815 Anderson Pike,Signal Mountain,Hamilton,Tennessee,37377,-85.322198,35.163464
1000133,200 W. Oak Street,Fort Collins,Larimer,Colorado,80521,-105.07995,40.586187
1000134,908 Seward St.,Evanston,Cook,Illinois,60202,-87.685197,42.028009
1000135,Downtown Garnett,Garnett,Anderson,Kansas,66032,-95.24,38.2809
1000137,178 King St,Boone,Watauga,North Carolina,28607,-81.6758,36.2169
1000138,206 Ladiga St ,JACKSONVILLE,Calhoun,Alabama,36265,-85.760351,33.813512
1000140,Monroe Street & Park Avenue,Tallahassee,Leon,Florida,32302,-84.2807,30.4422
1000141,Main Street and 1st Avenue,Little Falls,Passaic,New Jersey,7424,-74.22453,40.88081
1000151,110 Park Drive,Gravette,Benton,Arkansas,72736,-94.4451148,36.4219834
1000154,1091 Free Rd,Shiloh,Richland,Ohio,44878,-82.5544,40.9603
1000155,0,Starkville,Oktibbeha,Mississippi,39759,-88.814166,33.462861
1000157,"City Hall parking lot, 122 Broadway Street",West Burlington,Des Moines,Iowa,52655,-91.1566,40.8253
1000158,768 W. Main Street,Coppell,Dallas,Texas,75019,-97.007022,32.952867
1000159,80 Coventry St,Hartford,Hartford,Connecticut,6112,-72.6900286,41.799049
1000161,Across from the Fire Hall,Bruceton Mills,Preston,West Virginia,26525,-79.6412,39.6587
1000162,45 Bozrah Street,Bozrah,New London,Connecticut,6334,-72.168331,41.552173
1000164,South St. & Curtis St.,Simpsonville,Greenville,South Carolina,29681,-82.2582,34.7365
1000165,409 Aycock Street,Arabi,St. Bernard,Louisiana,70032,-90.00603,29.951105
1000166,0,Keene,Cheshire,New Hampshire,3431,-72.279211,42.932303
1000170,Magnolia Parking Lot,Buena Vista,Buena Vista,Virginia,24416,-79.3531,37.7373
1000171,100 E. Central Ave,Valdosta,Lowndes,Georgia,31601,-83.279103,30.832295
1000173,S39W27833 Genesee Rd.,Waukesha,Waukesha,Wisconsin,53189,-88.301861,42.973475
1000175,144 E. Margaret Lane,Hillsborough,Orange,North Carolina,27278,-79.097775,36.074025
1000176,1145 Falls River Avenue,Raleigh,Wake,North Carolina,27614,-78.58866,35.906849
1000179,5th and Commercial,Elko,Elko,Nevada,89801,-115.762,40.8317
1000180,211 N Union Street,Westfield,Hamilton,Indiana,46074,-86.1281489,40.044249
1000181,860 Commerce Center Drive,Jacksonville,Duval,Florida,32225,-81.5501,30.3372
1000182,9700 Argyle Forest Blvd,Jacksonville,Duval,Florida,32244,-81.8335,30.1942
1000183,1400 Smith Street (Kosciusko County Fairgrounds),Warsaw,Kosciusko,Indiana,46580,-85.8379,41.2322
1000184,10905 Livingston Road,Fort Washington,Prince George's,Maryland,20744,-76.999859,38.742988
1000186,2234 Highland Drive,Salt Lake City,Salt Lake,Utah,84106,-111.85908,40.722264
1000188,125 Pinecone Road North,Sartell,Stearns,Minnesota,56377,-94.228835,45.621872
1000189,"Ester Community Park, Old Nenana Highway",Ester,Fairbanks North Star,Alaska,99725,-148.01,64.8459
1000191,"Town Common, Junction of Rt. 67 and Rt. 9",West Brookfield,Worcester,Massachusetts,1585,-72.13915,42.23586
1000194,10 Pine Ave.,Riverside,Cook,Illinois,60546,-87.8201027,41.8277856
1000196,Downtown Square,Stromsburg,Polk,Nebraska,68666,-97.5121,41.0993
1000197,10th and Jackson Street,Wilmington,New Castle,Delaware,19805,-75.5572862,39.749416
1000199,1st Avenue,Fairbanks,Fairbanks North Star,Alaska,99701,-147.719593,64.844414
1000200,156 East Jackson Street,Gate City,0,Virginia,24251,-82.5791,36.6392
1000201,Memphis Street,Holly Springs,Marshall,Mississippi,38635,-89.4485845,34.7730529
1000203,"North Front Street, Depot Park",Rock Springs,0,Wyoming,82901,-109.218,41.5886
1000204,4150 Main at North HIlls,Raleigh,Wake,North Carolina,27609,-78.642449,35.836777
1000208,Market Street at Main Street,Bloomsburg,Columbia,Pennsylvania,17815,-76.457784,41.00246
1000210,7350 Pine Creek Road,Colorado Springs,El Paso,Colorado,80919,-104.814688,38.937716
1000211,Bruceton School Morgantown St.,Bruceton Mills,Preston,West Virginia,26525,-79.6413,39.661
1000212,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801,-81.7084941,33.5568819
1000213,67-09 Kissena Blvd,Flushing,Queens,New York,11367,-73.8146481,40.7352888
1000214,Hwy 75 and Hwy 1,Warren,Marshall,Minnesota,56762,-96.7720277,48.1951225
1000215,River Arts Center,Morrisville,Lamoille,Vermont,5661,-72.5984,44.5617
1000216,1300 Jefferson Street,Greenfield,Highland,Ohio,45123,-83.400832,39.34727
1000217,Merrick and Baisley Boulevards,Queens,Queens,New York,11434,-73.7697577,40.6837255
1000218,Schley Avenue/ Balcom Avenue and E 177th Street,Bronx,Bronx,New York,10465,-73.825483,40.822424
1000219,0,White Plains,Westchester,New York,10601,-73.7677,41.0319
1000222,City Park,Edgewood,Clayton,Iowa,52042,-91.5679,42.6445
1000224,120 S. Topanga Canyon Blvd,Topanga,Los Angeles,California,90290,-118.605,34.0906
1000227,Booster field off of Main St in Willow Springs MO,Willow Springs,Howell,Missouri,65793,-91.9623,36.9885
1000229,State Rd 1,Leo,Allen,Indiana,46765,-85.007583,41.229217
1000232,72 N. Union,Sparta,Kent,Michigan,49345,-85.7072,43.1624
1000234,Broadway,Columbus,Muscogee,Georgia,31901,-84.993217,32.46654
1000235,321 Main Street,Utica,Oneida,New York,13501,-75.2238804,43.1039095
1000236,110 SW 53rd St,Corvallis,Benton,Oregon,97333,-123.314881,44.567022
1000237,51 Water Street,Port Huron,St. Clair,Michigan,48060,-82.419763,42.971745
1000241,"On the Green, Woodstock Village",Woodstock,Windsor,Vermont,5091,-72.5168,43.626
1000242,Cathedral Square,Mobile,Mobile,Alabama,36633,-88.1933,30.6494
1000243,428 Main Stret,Warren,Warren,Ohio,44481,-80.8198,41.2331
1000244,250 Pigeon Street,Waynesville,Haywood,North Carolina,28786,-82.984939,35.48551
1000245,Pioneer Park,Othello,Adams,Washington,99344,-119.189,46.8245
1000246,Railway Station - Corner of 8th and Woodmere Streets,Traverse City,0,Michigan,49686,-85.6077,44.7592
1000249,Institute Street,Franklin,Delaware,New York,13775,-75.1677064,42.3391257
1000251,Coastal Highway & East Essex Street,Fenwick Island,0,Delaware,19944,-75.0519,38.4604
1000252,Heritage Park,Wellington,0,Kansas,67152,-97.398,37.2673
1000254,"108 W Roanoke St, Suite 101",Blacksburg,Montgomery,Virginia,24060,-80.414503,37.229248
1000255,Church & Chestnut Streets,West Chester,Chester,Pennsylvania,19380,-75.6071924,39.9609217
1000256,56 E. Spring St,Williamsville,Erie,New York,14221,-78.7446,42.9637
1000257,Hwy Y in Clark MO,Clark,Randolph,Missouri,65243,-91.7627,40.3994
1000260,Sunset Ave. and Brook Rd.,Westhampton Beach,Suffolk,New York,11978,-72.6446,40.815
1000262,64 W. Oregon Ave (1st St. and Oregon Ave.),Creswell,Lane,Oregon,97426,-123.018482,43.918649
1000266,601 North Madison Bouelvard,Roxboro,Person,North Carolina,27573,-78.9814539,36.4017695
1000267,12th Street under the viaduct,Howells,Colfax,Nebraska,68641,-96.9639,41.6128
1000268,711 Whaley St,Columbia,Richland,South Carolina,29205,-81.0358,33.9847
1000269,224 N. Clay Street,St. Millersburg,Holmes,Ohio,44654,-81.9173,40.5558
1000275,29 Warburton Ave.,Yonkers,Westchester,New York,10701,-73.899107,40.935594
1000276,W Front Street,EVERGREEN,Conecuh,Alabama,36401,-86.956701,31.433057
1000278,2000 Territory Drive,Galena,Jo Daviess,Illinois,61036,-90.315,42.40476
1000284,Spring Street Parking Lot,Amherst Center,Hampshire,Massachusetts,1002,-72.519422,42.374858
1000285,on the Main street,Gosnell,Mississippi,Arkansas,72315,-89.964831,35.959007
1000288,52 Court Street,Binghamton,Broome,New York,13901,-75.9095,42.0985
1000290,1 Bevier St,Binghamton,Broome,New York,13905,-75.9031,42.1265
1000291,Tressider Union,Standord,Santa Clara,California,94305,-122.171,37.4244
1000292,Route 38,Newark Valley,Tioga,New York,13811,-76.183963,42.223179
1000293,Christmas Circle and Palm Canyon Drive,Borrego Springs,San Diego,California,92004,-116.378,33.2566
1000294,"Cedar Center, Hwy. 4 & Oak Circle",Murphys,Calaveras,California,95247,-120.362,38.239
1000297,670 W. Broad Street,Athens,Clarke,Georgia,30603,-83.383849,33.956318
1000298,4300 Xylon Avenue N,New Hope,Hennepin,Minnesota,55428,-93.38403,45.03428
1000300,1000 West Paterson Street,Kalamazoo,Kalamazoo,Michigan,49007,-85.598452,42.303569
1000303,3650 Plymouth Blvd,Plymouth,Hennepin,Minnesota,55447,-93.477256,45.023297
1000306,1730 Conestoga Road/Rt 401,Chester Springs,Chester,Pennsylvania,19425,-75.641899,40.079648
1000307,7th and Ord,Laramie,Albany,Wyoming,82070,-105.5890518,41.3041486
1000309,"Town Green, Main Street",Bristol,Addison,Vermont,5443,-73.079252,44.133497
1000310,8310 Canoga Avenue,Austin,Travis,Texas,78724,-97.6353,30.285
1000312,501 Foster Street,Durham,Durham,North Carolina,27701,-78.901856,36.000559
1000313,Community Center,Ranchester,0,Wyoming,82839,-107.166,44.9096
1000314,381 Broadway (Route 32),Menands,Albany,New York,12204,-73.718251,42.694982
1000316,344 S. Hwy 89,Chino Valley,Yavapai,Arizona,86323,-112.455293,34.740766
1000323,16 9th Ave S,Hopkins,Hennepin,Minnesota,55343,-93.41175,44.92377
1000326,2537 S. 3rd Street West,Missoula,Missoula,Montana,59804,-114.041583,46.866716
1000330,8th and Ohio Streets,Wichita Falls,Wichita,Texas,76301,-98.4897756,33.9132018
1000331,Omega and Main Streets,Henrietta,Clay,Texas,76365,-98.1963,33.8148
1000333,Huddleson,Benton,Franklin,Illinois,62812,-90.363,39.4823
1000334,100 Manteca Avenue,Manteca,San Joaquin,California,95337,-121.2198502,37.7977403
1000336,8592 Hwy 1,Mansura,Avoyelles,Louisiana,71350,-92.0441339,31.0651622
1000342,sunrise high/long beach road,rockville centre,Suffolk,New York,11571,-73.6278794,40.6652431
1000348,"Parking lot next to Ferry, Rt 25A",Port Jefferson,Suffolk,New York,11777,-72.8546,40.8786
1000352,"2100 Park St,",Syracuse,Onondaga,New York,13208,-76.1684,43.0727
1000353,Market Street,Barnesville,Lamar,Georgia,30204,-84.1573,33.0515
1000356,1906 1st Ave N,Irondale,Jefferson,Alabama,35210,-86.7083,33.5388
1000357,Trade Lot,Altavista,Campbell,Virginia,24517,-79.2838,37.1185
1000359,Courthouse Square on Main,Vevay,Switzerland,Indiana,47043,-84.8522,39.0906
1000360,0,Clio,Genesee,Michigan,48420,-83.7343,43.1779
1000361,100 block of West Main Street,State Center,Marshall,Iowa,50247,-93.164577,42.016469
1000362,Uptown Redway,Redway,Humboldt,California,95560,-124.044,40.3543
1000365,1231 Pyramid Way,Sparks,Washoe,Nevada,89431,-119.753,39.5448
1000366,Main St & Wells St.,Marinette,Marinette,Wisconsin,54143,-87.6279,45.0985
1000367,South side of Courthouse Square,Greenfield,Adair,Iowa,50849,-94.4613,41.3049
1000368,1642 16th St,Barron,Barron,Wisconsin,54812,-91.828516,45.443768
1000369,Carson St. & Bonita St.,Carson,Los Angeles,California,90810,-118.259,33.8316
1000372,6th & Pine Street,Tacoma,Pierce,Washington,98406,-122.103,47.0233
1000373,South 56th Street & Washington Street,Tacoma,Pierce,Washington,98409,-122.485,47.2061
1000374,Broadway between 9th & 11th Streets,Tacoma,Pierce,Washington,98402,-122.441,47.2547
1000376,"Off of Collins Ave., N. on Alabama",Fairview,Camden,New Jersey,7022,-73.999,40.8126
1000379,6003 Elmer Derr Road,Frederick,Frederick,Maryland,21703,-77.459718,39.3753414
1000382,50 Riffel Rd.,Wooster,Wayne,Ohio,44691,-81.942,40.8513
1000383,178 Pilgrim Street,Inwood,Berkeley,West Virginia,25428,-78.042739,39.361254
1000384,"1028 Ridge Road, Webster Towne Center",Webster,Monroe,New York,14580,-77.452948,43.212229
1000392,Cow Harbor Parking Lot at the Harbor,Northport,Suffolk,New York,11768,-73.351584,40.899796
1000394,Fairview Avenue,Montgomery,Montgomery,Alabama,36108,-86.363,32.3465
1000396,677 W. Campbell Rd,Richardson,Dallas,Texas,75080,-96.743052,32.977879
1000397,134 South Church Street,Asheboro,Randolph,North Carolina,28801,-79.8175,35.7049
1000399,"In ""The Gathering"" across from Kellogg Park",Plymouth,Wayne,Michigan,48170,-83.4709,42.3684
1000400,Campbell Loop,West Fork,Washington,Arkansas,72774,-94.2147,35.98
1000401,South End of Main St.,Linton,Emmons,North Dakota,57648,-100.302,45.9028
1000402,932 Main Street,Smithfield,Jefferson,Ohio,43948,-80.7825,40.2691
1000405,1736 Hwy 52 South,Wadesboro,Anson,North Carolina,28170,-80.052567,34.940829
1000406,"225 South Pattee Street, Riverside Parking Lot",Missoula,Missoula,Montana,59802,-113.996586,46.8787176
1000407,2nd Avenue North,Columbus,Lowndes,Mississippi,39701,-88.414,33.4983
1000409,"Firth Park in Safford, AZ Highway 70",Safford,Graham,Arizona,85546,-109.720004,32.834595
1000410,2075 E. Van Buren,Eureka Springs,Carroll,Arkansas,72632,-93.731702,36.391562
1000411,Hwy 76 West,Hiawassee,Towns,Georgia,30546,-83.771331,34.963227
1000413,1002 E Cleveland St,West Frankfort,0,Illinois,62896,-88.9166,37.892
1000415,Highway 64,Plymouth,Washington,North Carolina,27962,-76.7449,35.8476
1000420,East Sharpe Street,Statesville,Iredell,North Carolina,28677,-80.9019,35.7725
1000421,HYW 69 E,Melbourne,Izard,Arkansas,72556,-91.9085,36.0595
1000426,Eastside of Courthouse,Greenfield,Hancock,Indiana,46140,-85.7559,39.7932
1000427,N. Main Street,Rice Lake,Barron,Wisconsin,54868,-91.7334,45.5013
1000428,Metro Station parking lot  west lot,Mount Prospect,Cook,Illinois,60056,-87.9372908,42.0664167
1000429,19783 US Hwy. 29 South,Chatham,Pittsylvania,Virginia,24531,-79.403628,36.864529
1000431,100 College Avenue,Appleton,Outagamie,Wisconsin,54911,-88.40703,44.26201
1000432,"100 College Avenue, City Center Plaza",Appleton,Outagamie,Wisconsin,54911,-88.4060597,44.2624663
1000434,Corner of West Main and Lawrence,Anthony,Harper,Kansas,67003,-98.038,37.1521
1000435,301 Main Street,Winfield,Cowley,Kansas,67156,-96.9979989,37.2471559
1000436,1302 Chestnut Street,Bastrop,Bastrop,Texas,78602,-97.312067,30.110719
1000437,800 E. 12th Street,Des Moines,Polk,Iowa,50316,-93.6031,41.5958
1000438,3983 Lund Road,Fife Lake,Kalkaska,Michigan,49633,-85.2538,44.5409
1000439,Corner of Ellicott(Route 63) & Center Streets,City of Batavia,Genesee,New York,14020,-78.1827,42.9948
1000442,S 3rd Street at Yakima Avenue,Yakima,Yakima,Washington,98901,-120.502725,46.602339
1000443,2710 Old Philadelphia Pike,Bird-in-Hand,Lancaster,Pennsylvania,17505,-76.0308,40.1067
1000444,Hwy. 8 @ St. Bridget's Catholic Church,Lindstrom,Chisago,Minnesota,55045,-92.8913,45.3605
1000446,Inger Park,Strawberry Point,Clayton,Iowa,52076,-91.5135,42.6963
1000447,"8th St. South, Armory parking lot",Virginia,St. Louis,Minnesota,55792,-92.4008,47.468
1000450,Junction Hwy. 2 & 3,Rugby,Pierce,North Dakota,58368,-99.9987,48.3548
1000452,1 E Water St.,Pinckneyville,Perry,Illinois,62274,-89.3941,38.0747
1000455,Behind Town By Auglaize River,Wapakoneta,Auglaize,Ohio,45895,-84.193602,40.571217
1000456,Logan ave.,Tyrone,Blair,Pennsylvania,16686,-78.2383,40.6744
1000458,3096 N. Ridge Road,Perry,Perry,Ohio,44081,-81.1722,41.7709
1000460,126 North St Andrews Street,Dothan,Houston,Alabama,36301,-85.390463,31.223592
1000461,675 Lafitte St.,Mandeville,St. Tammany,Louisiana,70448,-90.0648,30.3618
1000462,205 Broadway Street,Loveland,Clermont,Ohio,45140,-84.259924,39.266388
1000463,47950 Center St,Gualala,Mendocino,California,95445,-123.521,38.762
1000464,1200 7th Street E.,Atlantic,Cass,Iowa,50022,-94.9965,41.4043
1000465,2600 Ashland Road,Columbia,Richland,South Carolina,29210,-81.1279,34.0412
1000466,1301 Richland Street,Columbia,Richland,South Carolina,29201,-81.0361,34.0112
1000467,1100 Sumter Street,Columbia,Richland,South Carolina,29201,-81.0314,34.0005
1000468,2701 Heyward Street,Columbia,Richland,South Carolina,29205,-81.0062,33.9908
1000469,1401 Bull Street,Columbia,Richland,South Carolina,29201,-81.03,34.0055
1000471,3407 Devine Street,Columbia,Richland,South Carolina,29205,-80.9925,33.9974
1000473,410 Harbison Boulevard,Columbia,Richland,South Carolina,29212,-81.1496,34.0805
1000474,1500 Broad River Road,Columbia,Richland,South Carolina,29210,-81.0867,34.0309
1000475,2501 Heyward Street,Columbia,Richland,South Carolina,29205,-81.01,33.9911
1000477,3707 Moss Ave.,Columbia,Richland,South Carolina,29205,-80.9901,33.9868
1000480,"3201 Meadowlark Dr., , SC",Columbia,Richland,South Carolina,29201,-80.998895,34.037248
1000481,112 N. John Wayne Dr.,Winterset,Madison,Iowa,50273,-94.013604,41.335222
1000482,Chatham County Fairgrounds,Pittsboro,Chatham,North Carolina,27312,-79.2055,35.7539
1000483,Rt. 2 and Rt. 27,New Sharon,Franklin,Maine,4955,-70.129,44.6533
1000484,1626 Wells Avenue - Gramercy District,Boise,Boise,Idaho,83709,-116.299,43.5517
1000485,Rt 13 & Market St,Salisbury,Wicomico,Maryland,21801,-75.596859,38.364878
1000487,Somerset Ave and Washington St,Princess Anne,Somerset,Maryland,21853,-75.692582,38.203065
1000490,63 Washington,Marne,Cass,Iowa,51552,-95.1114,41.4483
1000493,2981 U.S. Route 20,Seneca Falls,Seneca,New York,13148,-76.767311,42.949952
1000494,201 West Galena Street,Big Rock,Kane,Illinois,60511,-88.5505521,41.7641777
1000495,1 Veterans Parkway,New Lenox,Will,Illinois,60451,-87.9799,41.5142
1000502,6971 Doar Rd.,Awendaw,Charleston,South Carolina,29429,-79.644,32.9901
1000503,Faett Street,Valdese,Burke,North Carolina,28690,-81.564792,35.742685
1000505,Third and Boston,Tulsa,Tulsa,Oklahoma,74101,-95.99038,36.15396
1000506,"In front of M & B Repair, Hwy 1 North",Keosauqua,Van Buren,Iowa,52565,-91.9552,40.7246
1000507,Square City Park,Kenmare,Ward,North Dakota,58746,-102.137,48.6422
1000508,Hwy 18E and Hwy 19N,Zebulon,Pike,Georgia,30295,-84.3424,33.1023
1000509,S. 4th St. between Rummelharts Financial Service and Guthrie Center Communications,Guthrie Center,Guthrie,Iowa,50115,-94.5033,41.6772
1000511,2011 Fairgrounds Road,Casper,Natrona,Wyoming,82604,-106.363,42.8287
1000514,City Park by the Library,Rudd,Floyd,Iowa,50471,-92.9022,43.1282
1000516,435 Elm Street,Natoma,Osborne,Kansas,67751,-99.0235,39.1902
1000517,11th & Elk St.,Seneca,0,Kansas,66538,-96.0707,39.8383
1000519,Route 12,Alexandria Bay,Jefferson,New York,13607,-75.9157,44.3314
1000520,Main Street and Linder,Kuna,Ada,Idaho,83634,-116.415209,43.490515
1000522,1100 Great Mall Drive,Milipitas,Santa Clara,California,95035,-121.896894,37.41196
1000523,SW Brent Drive,John Day,Grant,Oregon,97845,-118.954,44.416
1000524,503 East Spring Street,Waupun,Fond du Lac,Wisconsin,53963,-88.722663,43.64074
